UTC00,Latitude,Longitude,Elevation,Heading,DepthBelowTransducer
2020-11-08T23:35:55.00,46.5100,-122.5685,0,0,0
2020-11-08T23:35:56.00,46.5100,-122.5685,0,0,0
2020-11-08T23:35:57.00,46.5100,-122.5685,0,0,0
2020-11-08T23:35:58.00,46.5100,-122.5685,0,0,0
2020-11-08T23:35:59.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:00.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:01.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:02.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:03.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:04.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:05.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:06.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:07.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:08.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:09.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:10.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:11.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:12.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:13.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:14.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:15.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:16.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:17.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:18.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:19.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:20.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:21.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:22.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:23.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:24.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:25.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:26.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:27.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:28.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:29.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:30.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:31.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:32.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:33.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:34.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:35.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:36.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:37.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:38.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:39.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:40.00,46.5100,-122.5685,0,0,0
2020-11-08T23:36:41.00,46.5098,-122.5687,0,0,0
2020-11-08T23:36:42.00,46.5098,-122.5687,0,0,0
2020-11-08T23:36:43.00,46.5098,-122.5687,0,0,0
2020-11-08T23:36:44.00,46.5098,-122.5687,0,0,0
2020-11-08T23:36:45.00,46.5098,-122.5687,0,0,0
2020-11-08T23:36:46.00,46.5098,-122.5687,0,0,0
2020-11-08T23:36:47.00,46.5098,-122.5687,0,0,0
2020-11-08T23:36:48.00,46.5098,-122.5687,0,0,0
2020-11-08T23:36:49.00,46.5098,-122.5687,0,0,0
2020-11-08T23:36:50.00,46.5098,-122.5687,0,0,0
2020-11-08T23:36:51.00,46.5098,-122.5687,0,0,0
2020-11-08T23:36:52.00,46.5098,-122.5687,0,0,0
2020-11-08T23:36:53.00,46.5098,-122.5688,0,0,0
2020-11-08T23:36:54.00,46.5098,-122.5688,0,0,0
2020-11-08T23:36:55.00,46.5098,-122.5688,0,0,0
2020-11-08T23:36:56.00,46.5098,-122.5688,0,0,0
2020-11-08T23:36:57.00,46.5098,-122.5688,0,0,0
2020-11-08T23:36:58.00,46.5098,-122.5688,0,0,0
2020-11-08T23:36:59.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:00.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:01.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:02.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:03.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:04.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:05.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:06.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:07.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:08.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:09.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:10.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:11.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:12.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:13.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:14.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:15.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:16.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:17.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:18.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:19.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:20.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:21.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:22.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:23.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:24.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:25.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:26.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:27.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:28.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:29.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:30.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:31.00,46.5098,-122.5687,0,0,0
2020-11-08T23:37:32.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:33.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:34.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:35.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:36.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:37.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:38.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:39.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:40.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:41.00,46.5098,-122.5688,0,0,0
2020-11-08T23:37:42.00,46.5098,-122.5687,0,0,0
2020-11-08T23:37:43.00,46.5098,-122.5687,0,0,0
2020-11-08T23:37:44.00,46.5098,-122.5687,0,0,0
2020-11-08T23:37:45.00,46.5098,-122.5687,0,0,0
2020-11-08T23:37:46.00,46.5098,-122.5687,0,0,0
2020-11-08T23:37:47.00,46.5098,-122.5687,0,0,0
2020-11-08T23:37:48.00,46.5098,-122.5687,0,0,0
2020-11-08T23:37:49.00,46.5098,-122.5687,0,0,0
2020-11-08T23:37:50.00,46.5098,-122.5687,0,0,0
2020-11-08T23:37:51.00,46.5098,-122.5687,0,0,0
2020-11-08T23:37:52.00,46.5098,-122.5687,0,0,0
2020-11-08T23:37:53.00,46.5098,-122.5687,0,0,0
2020-11-08T23:37:54.00,46.5098,-122.5687,0,0,0
2020-11-08T23:37:55.00,46.5098,-122.5687,0,0,0
2020-11-08T23:37:56.00,46.5098,-122.5687,0,0,0
2020-11-08T23:37:57.00,46.5098,-122.5687,0,0,0
2020-11-08T23:37:58.00,46.5098,-122.5687,0,0,0
2020-11-08T23:37:59.00,46.5098,-122.5687,0,0,0
2020-11-08T23:38:00.00,46.5098,-122.5687,0,0,0
2020-11-08T23:38:01.00,46.5098,-122.5687,0,0,0
2020-11-08T23:38:02.00,46.5098,-122.5687,0,0,0
2020-11-08T23:38:03.00,46.5098,-122.5687,0,0,0
2020-11-08T23:38:04.00,46.5098,-122.5687,0,0,0
2020-11-08T23:38:05.00,46.5098,-122.5687,0,0,0
2020-11-08T23:38:06.00,46.5098,-122.5687,0,0,0
2020-11-08T23:38:07.00,46.5098,-122.5687,0,0,0
2020-11-08T23:38:08.00,46.5098,-122.5687,0,0,0
2020-11-08T23:38:09.00,46.5098,-122.5687,0,0,0
2020-11-08T23:38:10.00,46.5098,-122.5687,0,0,0
2020-11-08T23:38:11.00,46.5098,-122.5687,0,0,0
2020-11-08T23:38:12.00,46.5098,-122.5687,0,0,0
2020-11-08T23:38:13.00,46.5098,-122.5687,0,0,0
2020-11-08T23:38:14.00,46.5098,-122.5687,0,0,0
2020-11-08T23:38:15.00,46.5098,-122.5688,0,0,0
2020-11-08T23:38:16.00,46.5098,-122.5688,0,0,0
2020-11-08T23:38:17.00,46.5098,-122.5688,0,0,0
2020-11-08T23:38:18.00,46.5098,-122.5688,0,0,0
2020-11-08T23:38:19.00,46.5098,-122.5688,0,0,0
2020-11-08T23:38:20.00,46.5098,-122.5688,0,0,0
2020-11-08T23:38:21.00,46.5098,-122.5688,0,0,0
2020-11-08T23:38:22.00,46.5098,-122.5688,0,0,0
2020-11-08T23:38:23.00,46.5098,-122.5688,0,0,0
2020-11-08T23:38:24.00,46.5098,-122.5688,0,0,0
2020-11-08T23:38:25.00,46.5098,-122.5688,0,0,0
2020-11-08T23:38:26.00,46.5098,-122.5688,0,0,0
2020-11-08T23:38:27.00,46.5098,-122.5688,0,0,0
2020-11-08T23:38:28.00,46.5098,-122.5688,0,0,0
2020-11-08T23:38:29.00,46.5098,-122.5688,0,0,0
2020-11-08T23:38:30.00,46.5098,-122.5688,0,0,0
2020-11-08T23:38:31.00,46.5098,-122.5688,0,0,0
2020-11-08T23:38:32.00,46.5098,-122.5687,0,0,0
2020-11-08T23:38:33.00,46.5098,-122.5687,0,0,0
2020-11-08T23:38:34.00,46.5098,-122.5687,0,0,0
2020-11-08T23:38:35.00,46.5098,-122.5687,0,0,0
2020-11-08T23:38:36.00,46.5098,-122.5687,0,0,0
2020-11-08T23:38:37.00,46.5098,-122.5687,0,0,0
2020-11-08T23:38:38.00,46.5098,-122.5687,0,0,0
2020-11-08T23:38:39.00,46.5098,-122.5687,0,0,0
2020-11-08T23:38:40.00,46.5099,-122.5687,0,0,0
2020-11-08T23:38:41.00,46.5099,-122.5687,0,0,0
2020-11-08T23:38:42.00,46.5099,-122.5687,0,0,0
2020-11-08T23:38:43.00,46.5099,-122.5687,0,0,0
2020-11-08T23:38:44.00,46.5099,-122.5687,0,0,0
2020-11-08T23:38:45.00,46.5099,-122.5687,0,0,0
2020-11-08T23:38:46.00,46.5099,-122.5687,0,0,0
2020-11-08T23:38:47.00,46.5099,-122.5687,0,0,0
2020-11-08T23:38:48.00,46.5099,-122.5687,0,0,0
2020-11-08T23:38:49.00,46.5099,-122.5687,0,0,0
2020-11-08T23:38:50.00,46.5099,-122.5687,0,0,0
2020-11-08T23:38:51.00,46.5099,-122.5687,0,0,0
2020-11-08T23:38:52.00,46.5099,-122.5687,0,0,0
2020-11-08T23:38:53.00,46.5099,-122.5687,0,0,0
2020-11-08T23:38:54.00,46.5099,-122.5687,0,0,0
2020-11-08T23:38:55.00,46.5099,-122.5687,0,0,0
2020-11-08T23:38:56.00,46.5099,-122.5687,0,0,0
2020-11-08T23:38:57.00,46.5099,-122.5687,0,0,0
2020-11-08T23:38:58.00,46.5099,-122.5687,0,0,0
2020-11-08T23:38:59.00,46.5099,-122.5687,0,0,0
2020-11-08T23:39:00.00,46.5100,-122.5687,0,0,0
2020-11-08T23:39:01.00,46.5100,-122.5687,0,0,0
2020-11-08T23:39:02.00,46.5100,-122.5687,0,0,0
2020-11-08T23:39:03.00,46.5100,-122.5687,0,0,0
2020-11-08T23:39:04.00,46.5100,-122.5687,0,0,0
2020-11-08T23:39:05.00,46.5100,-122.5687,0,0,0
2020-11-08T23:39:06.00,46.5100,-122.5687,0,0,0
2020-11-08T23:39:07.00,46.5100,-122.5687,0,0,0
2020-11-08T23:39:08.00,46.5100,-122.5687,0,0,0
2020-11-08T23:39:09.00,46.5100,-122.5687,0,0,0
2020-11-08T23:39:10.00,46.5100,-122.5687,0,0,0
2020-11-08T23:39:11.00,46.5100,-122.5687,0,0,0
2020-11-08T23:39:12.00,46.5100,-122.5687,0,0,0
